,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size
Antenna_coverage,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
slot_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,0,2,4,7,8,9,10,11,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
EPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD3830770CCDD0AD383001CB,,,,,,,,-71.0,-65.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.838834764831844,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71.0,-71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71.0,-59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71.0,-65.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
AD3830770CCDD0AD383001CE,,,,,,,,,-66.25,,,,,,,,,,,,,,,,,,-73.5,-76.5,-75.5,-75.5,-73.0,,-74.125,,,,,,,,0.3535533905932738,,,,,,,,,,,,,,,2.1213203435596424,,,,,1.9311050377094112,,,,,,,,,-66.5,,,,,,,,,,,,,,,,,,-75.0,-76.5,-75.5,-75.5,-73.0,,-77.0,,,,,,,,,-66.0,,,,,,,,,,,,,,,,,,-72.0,-76.5,-75.5,-75.5,-73.0,,-73.0,,,,,,,,,-66.25,,,,,,,,,,,,,,,,,,-73.5,-76.5,-75.5,-75.5,-73.0,,-73.25,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,,4.0
AD3830770CCDD0AD383001D5,-73.5,-72.5,,,-77.0,,-75.0,,,-75.0,-76.0,,-76.5,,-76.0,,-77.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,-73.5,-72.5,,,-77.0,,-75.0,,,-75.0,-76.0,,-76.5,,-76.0,,-77.0,,,,,,,,,,,,,,,,,-73.5,-72.5,,,-77.0,,-75.0,,,-75.0,-76.0,,-76.5,,-76.0,,-77.0,,,,,,,,,,,,,,,,,-73.5,-72.5,,,-77.0,,-75.0,,,-75.0,-76.0,,-76.5,,-76.0,,-77.0,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,1.0,2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
AD3830770CCDD0AD383001D6,-75.5,,-77.0,,,,-77.0,,-72.0,-72.0,-73.5,,-73.5,,-73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.5,,-77.0,,,,-77.0,,-72.0,-72.0,-73.5,,-73.5,,-73.5,,,,,,,,,,,,,,,,,,,-75.5,,-77.0,,,,-77.0,,-72.0,-72.0,-73.5,,-73.5,,-73.5,,,,,,,,,,,,,,,,,,,-75.5,,-77.0,,,,-77.0,,-72.0,-72.0,-73.5,,-73.5,,-73.5,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,
AD3830770CCDD0AD383001D7,-73.5,,-74.0,,-73.0,,-74.5,,-73.0,,-72.5,,,-72.5,,-73.0,,,,,,,,,,,,,,,,,,1.4142135623730951,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,-74.5,,-74.0,,-73.0,,-74.5,,-73.0,,-72.5,,,-72.5,,-73.0,,,,,,,,,,,,,,,,,,-72.5,,-74.0,,-73.0,,-74.5,,-73.0,,-72.5,,,-72.5,,-73.0,,,,,,,,,,,,,,,,,,-73.5,,-74.0,,-73.0,,-74.5,,-73.0,,-72.5,,,-72.5,,-73.0,,,,,,,,,,,,,,,,,,2.0,,1.0,,1.0,,1.0,,2.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,
AD3830770CCDD0AD383001DD,,,-73.5,-73.0,-72.5,-72.5,,-73.5,,-72.75,-72.0,-73.5,-72.5,,-73.0,,-74.16666666666667,-77.0,,,,,,,,,,,,,,,,,,,,,,,,1.0606601717798212,,,,,,,0.5773502691896278,,,,,,,,,,,,,,,-73.5,-73.0,-72.5,-72.5,,-73.5,,-73.5,-72.0,-73.5,-72.5,,-73.0,,-74.5,-77.0,,,,,,,,,,,,,,,,,,-73.5,-73.0,-72.5,-72.5,,-73.5,,-72.0,-72.0,-73.5,-72.5,,-73.0,,-73.5,-77.0,,,,,,,,,,,,,,,,,,-73.5,-73.0,-72.5,-72.5,,-73.5,,-72.75,-72.0,-73.5,-72.5,,-73.0,,-74.5,-77.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,,1.0,,3.0,1.0,,,,,,,,,,,,,,,
AD3830770CCDD0AD383001DE,,,,,,,,-70.0,,-69.0,,,,,,,,,,,,,,,,,-69.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4748737341529163,,,,,,,,,,,,,-70.0,,-69.0,,,,,,,,,,,,,,,,,-71.5,,,,,,,,,,,,,,-70.0,,-69.0,,,,,,,,,,,,,,,,,-68.0,,,,,,,,,,,,,,-70.0,,-69.0,,,,,,,,,,,,,,,,,-69.75,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,
AD3830770CCDD0AD383001E0,,,,,,,,-67.5,,,,,,,,,,,,,,,,,,-63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67.5,,,,,,,,,,,,,,,,,,-63.0,,,,,,,,,,,,,,,-67.5,,,,,,,,,,,,,,,,,,-63.0,,,,,,,,,,,,,,,-67.5,,,,,,,,,,,,,,,,,,-63.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,
AD3830770CCDD0AD383001E3,,,,,,,,,-70.5,,,,,,,,,,,,,,,,,,-64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70.5,,,,,,,,,,,,,,,,,,-64.5,,,,,,,,,,,,,,,-70.5,,,,,,,,,,,,,,,,,,-64.5,,,,,,,,,,,,,,,-70.5,,,,,,,,,,,,,,,,,,-64.5,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
AD3830770CCDD0AD383001E7,-74.75,,-73.75,-76.5,,-77.0,-76.5,,-71.0,-71.5,-76.5,,-72.0,-74.33333333333333,-75.0,,-71.0,,,,,,,,,,,,,,,,,2.4748737341529163,,3.181980515339464,,0.7071067811865476,0.0,,,,,,,2.929732638541158,2.29128784747792,,,,,,,,,,,,,,,-76.5,,-76.0,-76.5,,-77.5,-76.5,,-71.0,-71.5,-76.5,,-72.0,-76.5,-77.0,,-71.0,,,,,,,,,,,,,,,,,-73.0,,-71.5,-76.5,,-76.5,-76.5,,-71.0,-71.5,-76.5,,-72.0,-71.0,-72.5,,-71.0,,,,,,,,,,,,,,,,,-74.75,,-73.75,-76.5,,-77.0,-76.5,,-71.0,-71.5,-76.5,,-72.0,-75.5,-75.5,,-71.0,,,,,,,,,,,,,,,,,2.0,,2.0,1.0,,2.0,2.0,,1.0,1.0,1.0,,1.0,3.0,3.0,,1.0,,,,,,,,,,,,,,,,
